title,artist,year,source,lyrics
A Bar Song (Tipsy),Shaboozey,2024,human,"My baby want a Birkin, she's been tellin' me all night long
Gasolines and groceries, the list goes on and on
This 9 to 5 ain't workin', why the hell do I work so hard?
I can't worry 'bout my problems, I can't take 'em when I'm gone
One, here comes the two, to the three, to the four

Tell 'em ""Bring another round"", we need plenty more

Two steppin' on the table, she don't need a dance floor

Oh my, good Lord



Can someone pour me up a double shot of whiskey?

They know me and Jack Daniels got a history

Therе's a party downtown, near 5th Street

Everybody at the bar gеttin' tipsy

Everybody at the bar gettin' tipsy

Everybody at the bar gettin' tipsy



I been Boozey since I left, I ain't changin' for shit

Tell my ma', I ain't forget (Oh, Lord, uh)

Woke up drunk at 10 a.m., we gon' do this shit again

Tell your girl to bring a friend (Oh, Lord)



One, here comes the two, to the three, to the four

Tell 'em ""Bring another round"", we need plenty more

Two steppin' on the table, she don't need a dance floor

Oh my, good Lord



Can someone pour me up a double shot of whiskey? (A double shot of whiskey)

They know me and Jack Daniels got a history (We go way back)

There's a party downtown, near 5th Street

Everybody at the bar gettin' tipsy (Woo)

Everybody at the bar gettin' tipsy (At the bar gettin' tipsy)

Everybody at the bar gettin' tipsy



One, here comes the two, to the three, to the four

When it's last call and they kick us out the door

It's gettin' kind of late but the ladies want some more

Oh my, good Lord (Tell 'em drink some more)



Can someone pour me up a double shot of whiskey? (A double shot of whiskey)

They know me and Jack Daniels got a history (Way back)

There's a party downtown, near 5th Street (Come on)

Everybody at the bar gettin' tipsy (Woo)

Can someone pour me up a double shot of whiskey (A double shot of whiskey)

They know me and Jack Daniels got a history (History)

At the bottom of a bottle gon' miss me (Bet you gon' miss me)

Everybody at the bar gettin' tipsy (At the bar gettin' tipsy)

Everybody at the bar gettin' tipsy

Everybody at the bar gettin' tipsy



That's fuckin' messed up, bro, they kicked me out the bar"
Beautiful Things,Benson Boone,2024,human,"For a while there it was rough
But lately, I've been doin' better
Than the last four cold Decembers I recall
And I see my family every month
I found a girl my parents love
She'll come and stay the night, and I think I might have it all

And I thank God every day

For the girl he sent my way

But I know the things he gives me, he can take away

And I hold you every night

And that's a feeling I wanna get used to

But there's no man as terrified as the man who stands to lose you



Oh, I hope I don't lose you

Mm

Please stay

I want you, I need you, oh God

Don't take

These beautiful things that I've got



Please stay

I want you, I need you, oh God

Don't take

These beautiful things that I've got



Oh-oh-oh-oh, oh, oh, please

Please don't take



I found my mind, I'm feelin' sane

It's been a while, but I'm finding my faith

If everything's good and it's great, why do I sit and wait 'til it's gone?

Oh, I'll tell ya, I know I've got enough

I've got peace and I've got love

But I'm up at night thinkin' I just might lose it all



Please stay

I want you, I need you, oh God

Don't take

These beautiful things that I've got



Oh-oh-oh-oh, oh, oh, please



Please stay

I want you, I need you, oh God

I need

These beautiful things that I've got"
I Had Some Help,Post Malone featuring Morgan Wallen,2024,human,"You got a lotta nerve, don't you, baby?
I only hit the curb 'cause you made me
You're tellin' all your friends that I'm crazy
Like I'm the only one
Why'd you throw them stones if you
Had a wild hair of your own or two?

Livin' in your big glass house with a view

I thought you knew



I had some help

It ain't like I can make this kinda mess all by myself

Don't act like you ain't help me pull that bottle off the shelf

Been deep in every weekend if you couldn't tell

They say, ""Teamwork makes the dream work""

Hell, I had some help (Help)



(Help)



You thought I'd take the blame for us a-crumblin'

Go 'round like you ain't guilty of somethin'

Already lost the game that you been runnin'

Guess it's catchin' up to you, huh

You think that you're so innocent

After all the shit you did

I ain't an angel, you ain't heaven-sent

Can't wash our hands of this



I had some help

It ain't like I can make this kinda mess all by myself

Don't act like you ain't help me pull that bottle off the shelf

Been deep in every weekend if you couldn't tell

They say, ""Teamwork makes the dream work""

Hell, I had some help (Help)



(Help)

(Help)

(Help)



It takes two to break a heart in two, ooh

Baby, you blame me and, baby, I blame you

Aw, if that ain't the truth (Oh)



I had some help

It ain't like I can make this kinda mess all by myself

Don't act like you ain't help me pull that bottle off the shelf

Been deep in every weekend if you couldn't tell

They say, ""Teamwork makes the dream work""

Hell, I had some help (Help)



(Help)

(Help)

(Help)"
Lovin on Me,Jack Harlow,2024,human,"I don't like no whips and chains and you can't tie me down
But you can whip your lovin' on me, baby
Whip your lovin' on me, baby
I'm vanilla, baby (I don't like no whips and chains and you can't tie me down)
I'll choke you, but I ain't no killer, baby

She twenty-eight, tellin' me I'm still a baby (But you can whip your lovin' on me, baby)

I get love in Detroit like Skilla Baby (Whip your lovin' on me, baby)

And the thing about your boy is

I don't like no whips and chains and you can't tie me down

But you can whip your lovin' on me, baby

That's right, that's right

Whip your lovin' on me, baby



Young J-A-C-K, AKA

Rico like Suave, Young Enrique

Speakin' of AKA, she's an alpha

But not around your boy, she get quiet 'round your boy, hold on (Shh)

Don't know what you heard or what you thought about your boy

But they lied about your boy, goin' dumb and it's somethin' idiotic 'bout your boy

She wearin' cheetah print, that's how bad she wanna bе spotted 'round your boy



I don't like no whips and chains and you can't tie mе down

But you can whip your lovin' on me, baby

Whip your lovin' on me



I'm vanilla, baby (I don't like no whips and chains and you can't tie me down)

I'll choke you, but I ain't no killer, baby

She twenty-eight, tellin' me I'm still a baby (But you can whip your lovin' on me, baby)

I get love in Detroit like Skilla Baby (Whip your lovin' on me, baby)

And the thing about your boy is

I don't like no whips and chains and you can't tie me down

But you can whip your lovin' on me, baby

Whip your lovin' on me, baby



Young M-I-S-S-I-O-N-A-R-Y

You sharp like barbed wire

She stole my heart, then she got archived

I keep it short with a bitch, Lord Farquaad

All the girls in the front row (Ayy)

All the girls at the barricade (Ayy)

All the girls that been waitin' all day, let your tongue hang out, fuck everything (Ayy)

If you came with a man (Yeah, yeah)

Let go of his hand (Let go of that shit)

Everybody in the suite, kickin' up they feet, stand up, bitch, dance (I see you)



I don't like no whips and chains and you can't tie me down

And all the guys in the back waitin' on the next track

But you can whip your lovin' on me, baby

Cut your boy a lil' slack

Whip your lovin' on me

It's young Jack



I'm vanilla, baby (I don't like no whips and chains and you can't tie me down)

I'll choke you, but I ain't no killer, baby

She twenty-eight, tellin' me I'm still a baby (But you can whip your lovin' on me, baby)

I get love in Detroit like Skilla Baby (Whip your lovin' on me, baby)

And the thing about your boy is

I don't like no whips and chains and you can't tie me down

But you can whip your lovin' on me, baby

That's right, that's right

Whip your lovin' on me, baby

I don't like no whips and chains and you can't tie me down

But you can whip your lovin' on me, baby

Whip your lovin' on me, baby"
Not Like Us,Kendrick Lamar,2024,human,"Psst, I see dead people
(Mustard on the beat, ho)
Ayy, Mustard on the beat, ho
Deebo any rap nigga, he a free throw
Man down, call an amberlamps, tell him, ""Breathe, bro""

Nail a nigga to the cross, he walk around like Teezo

What's up with these jabroni-ass niggas tryna see Compton?

The industry can hate me, fuck 'em all and they mama

How many opps you really got? I mean, it's too many options

I'm finna pass on this body, I'm John Stockton

Beat your ass and hide the Bible if God watchin'

Sometimes you gotta pop out and show niggas

Certified boogeyman, I'm the one that up the score with 'em

Walk him down, whole time, I know he got some ho in him

Pole on him, extort shit, bully, Death Row on him

Say, Drake, I hear you like 'em young

You better not ever go to cell block one

To any bitch that talk to him and they in love

Just make sure you hide your lil' sister from him

They tell me Chubbs the only one that get your hand-me-downs

And Party at the party playin' with his nose now

And Baka got a weird case, why is he around?

Certified Lover Boy? Certified pedophiles

Wop, wop, wop, wop, wop, Dot, fuck 'em up

Wop, wop, wop, wop, wop, I'ma do my stuff

Why you trollin' like a bitch? Ain't you tired?

Tryna strike a chord and it's probably A minor



They not like us, they not like us, they not like us

They not like us, they not like us, they not like us



You think the Bay gon' let you disrespect Pac, nigga?

I think that Oakland show gon' be your last stop, nigga

Did Cole fouI, I don't know why you still pretendin'

What is the owl? Bird niggas and bird bitches, go

The audience not dumb

Shape the stories how you want, hey, Drake, they're not slow

Rabbit hole is still deep, I can go further, I promise

Ain't that somethin'? B-Rad stands for bitch and you Malibu most wanted

Ain't no law, boy, you ball boy, fetch Gatorade or somethin'

Since 2009, I had this bitch jumpin'

You niggas'll get a wedgie, be flipped over your boxers

What OVO for? The ""Other Vaginal Option""? Pussy

Nigga better straighten they posture, got famous all up in Compton

Might write this for the doctorate, tell the pop star, ""Quit hidin'""

Fuck a caption, want action, no accident

And I'm hands-on, he fuck around, get polished

Fucked on Wayne girl while he was in jail, that's connivin'

Then get his face tatted like a bitch apologizin'

I'm glad DeRoz' came home, y'all didn't deserve him neither

From Alondra down to Central, nigga better not speak on Serena

And your homeboy need subpoena, that predator move in flocks

That name gotta be registered and placed on neighborhood watch

I lean on you niggas like another line of Wock'

Yeah, it's all eyes on me, and I'ma send it up to Pac, ayy

Put the wrong label on me, I'ma get 'em dropped, ayy

Sweet Chin Music and I won't pass the aux, ayy

How many stocks do I really have in stock? Ayy

One, two, three, four, five, plus five, ayy

Devil is a lie, he a 69 God, ayy

Freaky-ass niggas need to stay they ass inside, ayy

Roll they ass up like a fresh pack of 'za, ayy

City is back up, it's a must, we outside, ayy



They not like us, they not like us, they not like us

They not like us, they not like us, they not like us



Once upon a time, all of us was in chains

Homie still doubled down callin' us some slaves

Atlanta was the Mecca, buildin' railroads and trains

Bear with me for a second, let me put y'all on game

The settlers was usin' townfolk to make 'em richer

Fast-forward, 2024, you got the same agenda

You run to Atlanta when you need a check balance

Let me break it down for you, this the real nigga challenge

You called Future when you didn't see the club (Ayy, what?)

Lil Baby helped you get your lingo up (What?)

21 gave you false street cred

Thug made you feel like you a slime in your head (Ayy, what?)

Quavo said you can be from Northside (What?)

2 Chainz say you good, but he lied

You run to Atlanta when you need a few dollars

No, you not a colleague, you a fuckin' colonizer

The family matter and the truth of the matter

It was God's plan to show y'all the liar



Mm

Mm-mm

He a fan, he a fan, he a fan (Mm)

He a fan, he a fan, he a

Freaky-ass nigga, he a 69 God

Freaky-ass nigga, he a 69 God

Hey, hey, hey, hey, run for your life

Hey, hey, hey, hey, run for your life

Freaky-ass nigga, he a 69 God

Freaky-ass nigga, he a 69 God

Hey, hey, hey, hey, run for your life

Hey, hey, hey, hey, run for your life

Let me hear you say, ""OV-ho"" (OV-ho)

Say, ""OV-ho"" (OV-ho)

Then step this way, step that way

Then step this way, step that way



Are you my friend?

Are we locked in?

Then step this way, step that way

Then step this way, step that way"
Espresso,Sabrina Carpenter,2024,human,"Now he's thinkin' 'bout me every night, oh
Is it that sweet? I guess so
Say you can't sleep, baby, I know
That's that me espresso
Move it up, down, left, right, oh
Switch it up like Nintendo

Say you can't sleep, baby, I know

That's that me espresso



I can't relate

To desperation

My 'give a fucks' are on vacation

And I got this one boy

And he won't stop calling

When they act this way

I know I got em'



Too bad your ex don't do it for ya

Walked in and dream came trued it for ya

Soft skin and I perfumed it for ya

I know I Mountain Dew it for ya

That morning coffee brewed it for ya

One touch and I brand newed it for ya



Now he's thinkin' 'bout me every night, oh

Is it that sweet? I guess so

Say you can't sleep, baby, I know

That's that me espresso

Move it up, down, left, right, oh

Switch it up like Nintendo

Say you can't sleep, baby, I know

That's that me espresso



Holy shit

Is it that sweet? I guess so



I'm working late 'cause I'm a singer

Oh, he looks so cute wrapped around my finger

My twisted humor make him laugh so often

My honey bee, come and get this pollen



Too bad your ex don't do it for ya

Walked in and dream came trued it for ya

Soft skin and I perfumed it for ya

I know I Mountain Dew it for ya

That morning coffee brewed it for ya

One touch and I brand newed it for ya



Now he's thinkin' 'bout me every night, oh

Is it that sweet? I guess so

Say you can't sleep, baby, I know

That's that me espresso

Move it up, down, left, right, oh

Switch it up like Nintendo

Say you can't sleep, baby, I know

That's that me espresso



Thinkin' 'bout me every night, oh

Is it that sweet? I guess so

Say you can't sleep, baby, I know

That's that me espresso

Move it up, down, left, right, oh

Switch it up like Nintendo

Say you can't sleep, baby, I know

That's that me espresso



Is it that sweet? I guess so

Mmm, that's that me espresso"
Million Dollar Baby,Tommy Richman,2024,human,"Do it, baby, do what I should think
Do it-do it, baby, do what I could think
Do it-do it, baby, do what I should think
Do it-do it, baby, do what I could think
Do it-do it-do it, baby, do what I should think
Do it-do it baby, do what I could think

Do it-do it-do it, baby, do what I should think

Do it-do it baby, do what I could think

I ain't never rep a set, baby (tsk, tsk)

I ain't do no wrong

I could clean up good for you

Oh, I know right from wrong

'Cause I want make it, so badly (mm, mm, mm)

A million dollar baby (mm, mm, mm)

Don't at me, yeah, hell nah (yeah, yeah)

You rep my city for so damn long (ah, ah)

But you still don't notice me, my sound next (mhm)

Va next (yeah, yeah), I'm at they neck (yeah, yeah)

I'm runnin' up a check (yeah, yeah, yeah, yeah)

I see a bad lil' mama, she a diva (mm)

No matter what happens, he cannot come between us again (mm, mm, mm)

I know we're better than friends (better than friends)

I took her to Queen's Gambit (yeah, yeah), showed around my friends (right now)

Tried to pick some energy up, it don't matter

I know you never moved on if you tried (oh, no)

I don't believe it, baby, I know you lied (oh, no)

All night long, what you mean, ""I changed""?

Haven't stayed the same

I've been losin' my mind (ooh, ooh, ooh)

I said, ""The city is mine"" (ooh, ooh, ooh)

I ain't never rep a set, baby (mm, mm-mm)

I ain't do no wrong

I could clean up good for you (mm, mm-mm)

Oh, I know right from wrong

'Cause I want make it, so badly (mm, mm, mm)

A million dollar baby (mm, mm, mm)

Don't at me

I ain't never rep a set, baby (mm, mm-mm)

I ain't do no wrong

I could clean up good for you (mm, mm-mm)

Oh, I know right from wrong

'Cause I want make it, so badly (mm, mm, mm)

A million dollar baby (mm, mm, mm)

Don't at me

Hell-hell nah

Yeah, hell-hell nah

Hell-hell nah

Do it-do it, baby, do what I could think

Do it, baby, do what I should think

Do it-do it, baby, do what I could think

Hell-hell nah

Yeah, hell-hell nah

Hell-hell nah"
I Remember Everything,Zach Bryan featuring Kacey Musgraves,2024,human,"Rotgut whiskey's gonna ease my mind
Beach town rests on the drying line
Do I remind you of your daddy in his '88 Ford?
Labrador hanging out the passenger door
The sand from your hair is blowing in my eyes

Blame it on the beach, grown men don't cry



Do you remember that beat-down basement couch?

I'd sing you my love songs, and you'd tell me about

How your momma ran off and pawned her ring

I remember, I remember everything



A cold shoulder at closing time, you were begging me to stay 'til the sun rose

Strange words come on out of a grown man's mouth when his mind's broke

Pictures and passing time, you only smile like that when you're drinking

I wish I didn't, but I do remember every moment on the nights with you



You're drinking everything to ease your mind

But when the hell are you gonna ease mine?

You're like concrete feet in the summer heat

That burns like hell when two souls meet

No, you'll never be the man that you always swore

But I'll remember you singing in that '88 Ford



A cold shoulder at closing time, you were begging me to stay 'til the sun rose

Strange words come on out of a grown man's mouth when his mind's broke

Pictures and passing time, you only smile like that when you're drinking

I wish I didn't, but I do remember every moment on the nights with you



A cold shoulder at closing time, you were begging me to stay 'til the sun rose

Strange words come on out of a grown man's mouth when his mind's broke

Pictures and passing time, you only smile like that when you're drinking

I wish I didn't, but I do remember every moment on the nights with you



Rotgut whiskey's gonna ease my mind

Beach town rests on the drying line

Do I remind you of your daddy in my '88 Ford?

Labrador hanging out the passenger door"
Too Sweet,Hozier,2024,human,"It can't be said I'm an early bird
It's ten o'clock before I say a word
Baby, I can never tell
How do you sleep so well?
You keep telling me to live right

To go to bed before the daylight

But then you wake up for the sunrise

You know you don't gotta pretend

Baby, now and then



Don't you just wanna wake up

Dark as a lake

Smelling like a bonfire

Lost in a haze?

If you're drunk on life, babe

I think it's great

But while in this world



I think I'll take my whiskey neat

My coffee black and my bed at three

You're too sweet for me

You're too sweet for me

I take my whiskey neat

My coffee black and my bed at three

You're too sweet for me

You're too sweet for me



I aim low

I aim true, and the ground's where I go

I work late where I'm free from the phone

And the job gets done

But you worry some, I know



But who wants to live forever, babe

You treat your mouth as if it's Heaven's gate

The rest of you like you're the TSA

I wish that I could go along

Babe, don't get me wrong



You know you're bright as the morning

As soft as the rain

Pretty as a vine

As sweet as a grape

If you can sit in a barrel

Maybe I'll wait

Until that day



I'd rather take my whiskey neat

My coffee black and my bed at three

You're too sweet for me

You're too sweet for me

I take my whiskey neat

My coffee black and my bed at three

You're too sweet for me

You're too sweet for me



I take my whiskey neat

My coffee black and my bed at three

You're too sweet for me

You're too sweet for me"
Stick Season,Noah Kahan,2024,human,"As you promised me that I was more than all the miles combined
You must have had yourself a change of heart halfway through the drive
Because your voice trailed off exactly as you passed my exit sign
Kept on driving straight and left our future to the right
Now I am stuck between my anger and the blame that I can't face

And memories are something even smoking weed does not replace

And I am terrified of weather 'cause I see you when it rains

And doc told me to travel but there's COVID on the planes



And I, love Vermont, but it's the season of the sticks

And I, saw your mom, she forgot that I existed

And it's, half my fault but I just like to play the victim

I'll drink alcohol 'til my friends come home for Christmas

And I'll, dream each night of some version of you

That I, might not have but I did not lose

Now you're tire tracks and one pair of shoes

And I'm split in half but that'll have to do



So I thought that if I piled something good on all my bad

That I could cancel out the darkness I inherited from dad

No and I'm no longer funny but I miss the way you laugh

You once called me forever now you still can't call me back



And I, love Vermont, but it's the season of the sticks

And I, saw your mom, she forgot that I existed

And it's half my fault but I just like to play the victim

I'll drink alcohol 'til my friends come home for Christmas

And I'll, dream each night of some version of you

That I, might not have but I did not lose

Now you're tire tracks and one pair of shoes

And I'm split in half but that'll have to do



Oh that'll have to do

My other half was you

I hope this pain's just passing through

But I doubt it



And I, love Vermont, but it's the season of the sticks

And I, saw your mom, she forgot that I existed

And it's half my fault but I just like to play the victim

I'll drink alcohol 'til my friends come home for Christmas

And I'll, dream each night of some version of you

That I, might not have but I did not lose

Now you're tire tracks and one pair of shoes

And I'm split in half but that'll have to do

Have to do"
